SP500,GOLD,IYR,port_er,port_std,sharpe
0.01,0.42,0.57,0.03833724091207735,0.13555672739651836,0.28281326680258884
0.01,0.43,0.56,0.03815504419841746,0.13466892908266928,0.28332477623695373
0.01,0.44,0.55,0.03797284748475757,0.13382095668087374,0.2837586012429458
0.01,0.45,0.54,0.037790650771097674,0.13301357187365445,0.28411123946805866
0.01,0.46,0.53,0.03760845405743778,0.13224751803751808,0.2843792807269806
0.01,0.47,0.52,0.03742625734377789,0.13152351736655984,0.28455943159936814
0.01,0.48,0.51,0.037244060630117995,0.13084226795172937,0.2846485406677463
0.01,0.49,0.5,0.037061863916458104,0.13020444083795607,0.2846436241186495
0.01,0.5,0.49,0.036879667202798214,0.1296106770832933,0.28454189139909963
0.01,0.51,0.48,0.03669747048913832,0.1290615848459445,0.2843407705936866
0.01,0.52,0.47,0.036515273775478425,0.12855773652641994,0.2840379331661161
0.01,0.53,0.46,0.036333077061818535,0.12809966599307804,0.2836313176943164
0.01,0.54,0.45,0.036150880348158644,0.12768786591987577,0.2831191522211151
0.01,0.55,0.44,0.03596868363449875,0.1273227852652402,0.28249997484400297
0.01,0.56,0.43,0.03578648692083886,0.12700482692054282,0.28177265217823355
0.01,0.57,0.42,0.035604290207178965,0.1267343455556854,0.28093639534781756
0.01,0.58,0.41,0.035422093493519075,0.12651164568778245,0.27999077318887394
0.01,0.59,0.4,0.035239896779859184,0.12633697999685758,0.27893572238892933
0.01,0.6,0.39,0.03505770006619929,0.12621054790988773,0.27777155433339784
0.01,0.61,0.38,0.0348755033525394,0.12613249447146443,0.2764989584855111
0.01,0.62,0.37,0.034693306638879505,0.12610290951586414,0.2751190021869795
0.01,0.63,0.36,0.03451110992521961,0.12612182715149153,0.27363312683193614
0.01,0.64,0.35,0.03432891321155972,0.12618922556457612,0.2720431404343014
0.01,0.65,0.34,0.034146716497899826,0.1263050271447519,0.27035120667656387
0.01,0.66,0.33,0.033964519784239935,0.12646909893083694,0.26855983059398847
0.01,0.67,0.32,0.033782323070580045,0.12668125337085756,0.2666718411104031
0.01,0.68,0.31,0.033600126356920154,0.1269412493862309,0.2646903706980901
0.01,0.69,0.3,0.03341792964326026,0.12724879372613082,0.26261883248326473
0.01,0.7,0.29,0.033235732929600366,0.12760354259449774,0.2604608951588268
0.01,0.71,0.28,0.033053536215940475,0.12800510352899405,0.2582204560965307
0.01,0.72,0.27,0.032871339502280585,0.12845303750851297,0.25590161307086334
0.01,0.73,0.26,0.03268914278862069,0.12894686126366423,0.25350863501655563
0.01,0.74,0.25,0.032506946074960796,0.12948604976301567,0.2510459322410001
0.01,0.75,0.24,0.032324749361300906,0.1300700388467765,0.24851802650247307
0.01,0.76,0.23,0.032142552647641015,0.1306982279790587,0.24592952134585253
0.01,0.77,0.22,0.031960355933981124,0.13136998308983042,0.2432850730606148
0.01,0.78,0.21,0.03177815922032123,0.1320846394781427,0.2405893625926114
0.01,0.79,0.2,0.031595962506661336,0.132841504749125,0.23784706870289687
0.01,0.8,0.19,0.031413765793001446,0.13363986175855222,0.23506284262518057
0.01,0.81,0.18,0.031231569079341555,0.13447897154042476,0.23224128442976125
0.01,0.82,0.17,0.03104937236568166,0.13535807619491372,0.22938692125744314
0.01,0.83,0.16,0.030867175652021767,0.13627640171613734,0.22650418754318044
0.01,0.84,0.15,0.030684978938361876,0.13723316074149236,0.22359740730714142
0.01,0.85,0.14,0.030502782224701985,0.13822755520660415,0.2206707785514291
0.01,0.86,0.13,0.03032058551104209,0.13925877889232546,0.21772835976456387
0.01,0.87,0.12,0.030138388797382197,0.14032601985255858,0.21477405850353903
0.01,0.88,0.11,0.029956192083722306,0.141428462713953,0.21181162199514522
0.01,0.89,0.1,0.029773995370062416,0.14256529084070785,0.20884462967448175
0.01,0.9,0.09,0.02959179865640252,0.14373568835975115,0.20587648755915247
0.01,0.91,0.08,0.02940960194274263,0.14493884204346213,0.20291042434245274
0.01,0.92,0.07,0.02922740522908274,0.14617394304882148,0.19994948907768678
0.01,0.93,0.06,0.029045208515422846,0.14744018851341995,0.1969965503182951
0.01,0.94,0.05,0.02886301180176295,0.1487367830101142,0.19405429657437356
0.01,0.95,0.04,0.028680815088103058,0.15006293986329552,0.1911252379450298
