SP500,GOLD,IYR
1767.93,1314.74,66.68
1762.97,1311.6,65.67
1770.49,1318.4,65.66
1747.15,1307.95,64.86
1770.61,1288.2,63.99
1771.89,1283.28,63.94
1767.69,1267.99,63.72
1782,1278.99,64.17
1790.62,1287.39,64.68
1798.18,1290.05,64.84
1791.53,1274.35,64.39
1787.87,1275.25,63.9
1781.37,1243.2,63.34
1795.85,1242.75,63.68
1804.76,1243.6,63.49
1802.48,1252.6,63.22
1802.75,1243.3,63.04
1807.23,1237.4,63.69
1805.81,1253.49,63.1
1800.9,1220.05,62.77
1795.15,1223.89,62.7
1792.81,1243.66,62.84
1785.03,1224.88,62.91
1805.09,1228.85,63.4
1808.37,1240.94,63.81
1802.62,1260.72,63.81
1782.22,1251.75,62.43
1775.5,1223.8,62.01
1775.32,1238.3,62.26
1786.54,1240.57,62.33
1781,1230.1,62.66
1810.65,1218.07,63.76
1809.6,1190.1,62.98
1818.32,1203.25,63.47
1827.99,1198.84,62.97
1833.32,1204.35,63.08
1842.02,1210.7,63.15
1841.4,1213.19,63.23
1841.07,1196.4,63.28
1848.36,1205.55,63.08
1831.98,1224.89,62.98
1831.37,1236.55,63.35
1826.77,1238.05,63.61
1837.88,1232.1,63.83
1837.49,1226.1,63.73
1838.13,1228,63.7
1842.37,1247.1,64.46
1819.2,1253.44,64.04
1838.88,1245.1,64.44
1848.38,1241.74,64.74
1845.89,1242.55,64.89
1838.7,1253.82,64.68
1843.8,1241.49,65.13
1844.86,1236.49,65.3
1828.46,1264.35,65.27
1790.29,1269.25,64.31
1781.56,1257.07,63.92
1792.5,1256.55,64.57
1774.2,1268.4,64.27
1794.19,1243.7,65.05
1782.59,1243.8,65.25
1741.89,1257.64,64.3
1755.2,1255,64.97
1751.64,1258.01,64.95
1773.43,1257.64,65.43
1797.02,1267.06,65.87
1799.84,1274.9,66.47
1819.75,1291.85,66.7
1819.26,1291.25,66.74
1829.83,1302.7,67
1838.63,1318.93,67.27
1840.76,1321.6,67.67
1828.75,1311.8,67.65
1839.78,1322.89,67.53
1836.25,1323.39,67.64
1847.61,1337,67.75
1845.12,1340.75,67.78
1845.16,1330.75,67.97
1854.29,1331.44,67.9
1859.45,1326.4,68.35
1845.73,1350.9,68.4
1873.91,1334.9,69.24
1873.81,1337.39,69.15
1877.03,1351.35,68.82
1878.04,1340.25,68.04
1877.17,1339.15,67.79
1867.63,1349.95,68.16
1868.2,1367.08,68.31
1846.34,1370.6,68.09
1841.13,1382.24,68.11
1858.83,1366.95,68.22
1872.25,1356.25,68.52
1860.77,1331.45,67.31
1872.01,1328.5,67.4
1866.52,1334.55,67.95
1857.44,1309.62,67.55
1865.62,1311.05,67.27
1852.56,1304.1,66.52
1849.04,1291.14,66.84
1857.62,1294,67.28
1872.34,1284.25,67.67
1885.52,1279.15,68.1
1890.9,1289.8,68.11
1888.77,1287.3,67.87
1865.09,1302.7,68.14
1845.04,1296.65,68.21
1851.96,1308.72,68.59
1872.18,1311.9,68.54
1833.08,1318.92,67.93
1815.69,1318.47,67.52
1830.61,1326.4,67.77
1842.98,1302.65,68.49
1862.31,1302.8,68.9
1864.85,1294.85,68.71
1871.89,1290.15,69
1879.55,1283.5,69.23
1875.39,1283.9,69.02
1878.61,1293.85,69.25
1863.4,1303.45,69.01
1869.43,1296.1,69.37
1878.33,1296.48,69.41
1883.95,1291.9,69.72
1883.68,1284.1,70.26
1881.14,1300.32,70.23
1884.66,1309.85,70.48
1867.72,1307.65,70.22
1878.21,1289.55,71.04
1875.63,1289.6,71.08
1878.48,1289.33,71.07
1896.65,1295.8,71.22
1897.45,1293.35,70.8
1888.53,1305.6,70.98
1870.85,1296.35,70.86
1877.86,1293.7,71.38
1885.08,1291.95,71.12
1872.83,1294.25,70.9
1888.03,1291.85,70.62
1892.49,1293.85,70.56
1900.53,1293.11,71.09
1911.91,1263.7,71.52
1909.78,1258.5,71.23
1920.03,1256.05,71.32
1923.57,1251.05,71.67
1924.97,1244.35,71.8
1924.24,1244.65,71.71
1927.88,1243.8,71.78
1940.46,1253.6,72.9
1949.44,1252.73,72.75
1951.27,1252.08,71.97
1950.79,1260.8,71.6
1943.89,1260.74,71.31
1930.11,1273.36,71.1
1936.16,1277,71.28
1937.78,1271.6,70.92
1941.99,1271.5,71
1956.98,1278.4,71.44
1959.48,1320.1,71.99
1962.87,1314.82,72.24
1962.61,1318.1,72.07
1949.98,1318.3,71.5
1959.53,1319.5,71.5
1957.22,1317.95,71.42
1960.96,1315.35,71.85
1960.23,1327.5,71.79
1973.32,1325.75,71.97
1974.62,1327.45,71.89
1985.44,1319.8,71.55
1977.65,1320.2,71.62
1963.71,1318.95,71.84
1972.83,1326.7,72
1964.68,1335.55,72.23
1967.57,1338.15,72.28
1977.1,1307.15,72.61
1973.28,1294.45,72.59
1981.57,1299.37,72.86
1958.12,1318.25,72.43
1978.22,1310.9,73.07
1973.63,1311.9,72.86
1983.53,1307.35,73.17
1987.01,1304.15,73.33
1987.98,1293.35,73.14
1978.34,1308.05,72.73
1978.91,1304.25,73.17
1969.95,1298.75,72.83
1970.07,1295.05,72.76
1930.67,1282.35,71.71
1925.15,1294.1,71.57
1938.99,1288.35,72
1920.21,1288,71.36
1920.24,1306.25,71.49
1909.57,1313.55,71.6
1931.59,1309.6,72.14
1936.92,1308.1,72.54
1933.75,1308.6,72.33
1946.72,1312.86,73.23
1955.18,1313.24,73.21
1955.06,1304.6,73.28
1971.74,1297.46,73.96
1981.6,1295.5,74.02
1986.51,1292.15,74.38
1992.37,1277.25,74.31
1988.4,1281.23,73.81
1997.92,1276.6,73.78
2000.02,1280.9,73.78
2000.12,1282.95,73.9
1996.74,1290,73.83
2003.37,1287.57,74.2
2002.28,1265.9,74.24
2000.72,1269.07,74.26
1997.65,1261.1,74.12
2007.71,1268.85,74.82
2001.54,1255.7,74.69
1988.44,1256.2,74.29
1995.69,1248.75,73.26
1997.45,1240.75,73.35
1985.54,1228.63,71.24
